Word            Frequency
remarkable              2
archbishop              2
vi                      1
quarrelled              1
crumbs                  4
dismay                  1
failure                 1
hint                    2
know                   88
sorrowful               2
knot                    2
frightened              7
changed                 8
drop                    1
curving                 1
saucer                  1
figures                 1
idea                   15
kid                     5
shaped                  3
changes                 2
throne                  1
cold                    1
learning                2
shelves                 1
life                   11
clapping                1
reeds                   1
shriek                  5
gay                     1
"william                1
lovely                  2
punching                1
figure                  3
reading                 3
argue                   1
tulip                   1
xi                      1
squeaking               2
ones                    1
passing                 1
held                    4
chains                  1
reach                   4
courtiers               2
elsie                   1
inches                  6
hiss                    1
puss                    1
shrinking               4
positively              1
children               10
terms                   1
sight                  10
dreadful                2
deeply                  4
teeth                   1
asleep                  8
chuckled                1
lobsters                6
collar                  1
natural                 4
overhead                1
wife                    1
rightly                 1
scroll                  2
reeling                 1
shilling                1
push                    1
joys                    1
exact                   1
neighbouring            1
unwillingly             1
languid                 1
weak                    2
rock                    1
flat                    2
flappers                1
dark                    3
course                 25
leap                    1
place                   8
nibbled                 2
gloomily                1
dare                    5
regular                 2
"they                   1
sits                    1
dispute                 2
precious                1
cook                   13
cool                    2
sell                    2
tired                   7
tremble                 1
continued               9
elbows                  1
digging                 4
jogged                  1
brain                   1
abide                   1
buttered                1
help                    9
hadn                    8
seaside                 1
trickling               1
chorus                  6
lastly                  1
roses                   3
magic                   1
snail                   3
argument                4
passage                 4
lamps                   1
owl                     3
sound                   4
murdering               1
obliged                 3
begun                   7
grinning                1
leaders                 1
hopeful                 1
rustling                1
natured                 1
growing                11
knocking                3
twelfth                 1
croqueted               1
crashed                 1
sage                    1
justice                 1
xii                     1
verse                   4
blow                    2
furious                 1
officers                4
tossing                 3
curious                19
proud                   2
alarmed                 1
creatures              10
resource                1
goes                    7
untwist                 1
salmon                  1
ugly                    2
tinkling                1
branches                2
addressed               2
person                  4
capering                1
safe                    2
flung                   1
ground                  5
chanced                 1
shrimp                  1
line                    2
balls                   1
scale                   1
else"                   1
hedge                   2
goldfish                2
hair                    7
paris                   2
shyly                   1
pretexts                1
cat                    37
hearth                  1
flew                    1
station                 1
alarm                   2
hearts                  8
feeble                  2
saucepan                1
treacle                 7
scaly                   1
shrill                  5
nose                    8
carried                 4
cost                    1
feebly                  1
smoke                   1
hurrying                1
played                  1
carrier                 1
washing                 3
arguments               1
vanishing               1
wild                    2
